id,rating_numerator,name,retweet_count,favorite_count,type,p1_dog,display_text_range,created_date,created_time
811627233043480576,10,Augie,2840,12039,beagle,True,103,2016-12-21,17
811386762094317568,11,Craig,5961,19793,Pembroke,True,112,2016-12-21,1
810896069567610880,11,Hunter,1639,8509,flat-coated_retriever,True,127,2016-12-19,17
810657578271330305,11,Pavlov,2461,10401,malamute,True,100,2016-12-19,1
810284430598270976,13,Phil,10470,33206,malamute,True,79,2016-12-18,0
810254108431155201,12,Gus,3151,13925,Staffordshire_bullterrier,True,118,2016-12-17,22
809220051211603969,12,Kyro,5230,18824,Pomeranian,True,126,2016-12-15,2
809084759137812480,11,Wallace,3286,12527,vizsla,True,136,2016-12-14,17
808838249661788160,13,Ito,2857,9623,Rottweiler,True,116,2016-12-14,0
808501579447930884,12,Koda,2452,10725,Airedale,True,105,2016-12-13,2
808001312164028416,12,Cooper,3296,11807,Labrador_retriever,True,105,2016-12-11,17
807621403335917568,14,Ollie,3375,13804,golden_retriever,True,137,2016-12-10,16
807106840509214720,13,Stephan,51470,111227,Chihuahua,True,61,2016-12-09,6
807010152071229440,12,Lennon,3619,12426,golden_retriever,True,123,2016-12-08,23
806542213899489280,11,Waffles,2210,9709,vizsla,True,99,2016-12-07,16
806219024703037440,11,incredibly,1131,6121,chow,True,123,2016-12-06,19
805932879469572096,12,Major,1796,7873,Norwegian_elkhound,True,125,2016-12-06,0
805826884734976000,12,Duke,1710,6213,Siberian_husky,True,54,2016-12-05,17
805520635690676224,13,Zeke,1547,5462,malinois,True,138,2016-12-04,21
805207613751304193,12,Shooter,1623,7455,Pembroke,True,55,2016-12-04,0
804738756058218496,12,Django,3591,12945,Tibetan_mastiff,True,97,2016-12-02,17
803773340896923648,12,Diogi,2579,9518,miniature_pinscher,True,106,2016-11-30,1
803276597545603072,11,Winston,2291,9514,Pembroke,True,110,2016-11-28,16
802952499103731712,12,Marley,1867,8557,chow,True,74,2016-11-27,19
802572683846291456,12,Winnie,2348,8490,golden_retriever,True,107,2016-11-26,18
802239329049477120,12,Loki,2451,8622,Eskimo_dog,True,132,2016-11-25,19
801958328846974976,12,Ronnie,1592,7346,Staffordshire_bullterrier,True,103,2016-11-25,1
801538201127157760,12,Wallace,1949,7793,Pembroke,True,84,2016-11-23,21
801167903437357056,13,Milo,5492,23099,cocker_spaniel,True,56,2016-11-22,20
801115127852503040,12,Bones,1981,7660,dalmatian,True,120,2016-11-22,17
800751577355128832,12,Mauve,2617,10068,cocker_spaniel,True,96,2016-11-21,17
800513324630806528,11,Chef,2817,12463,Pembroke,True,78,2016-11-21,1
800388270626521089,12,Doc,2630,10579,golden_retriever,True,99,2016-11-20,17
800141422401830912,13,Peaches,2383,14470,golden_retriever,True,96,2016-11-20,0
799757965289017345,13,Sobe,1999,7938,Border_collie,True,106,2016-11-18,23
799422933579902976,12,Longfellow,1794,7666,miniature_pinscher,True,136,2016-11-18,1
799297110730567681,11,Jeffrey,2552,9364,malamute,True,91,2016-11-17,17
799063482566066176,11,Mister,2336,7668,Norfolk_terrier,True,84,2016-11-17,1
798933969379225600,12,Iroh,4143,12384,Siberian_husky,True,59,2016-11-16,17
798925684722855936,11,Shadow,1355,7144,West_Highland_white_terrier,True,122,2016-11-16,16
798209839306514432,13,Cooper,2418,9896,Pekinese,True,106,2016-11-14,17
797545162159308800,12,Cassie,4603,13825,Pembroke,True,109,2016-11-12,21
797236660651966464,12,Pancake,6136,18867,collie,True,89,2016-11-12,0
796865951799083009,12,Tyr,1825,7283,Cardigan,True,88,2016-11-11,0
796759840936919040,11,Romeo,2821,11174,American_Staffordshire_terrier,True,111,2016-11-10,17
796387464403357696,12,Snicku,3878,10427,Pekinese,True,130,2016-11-09,16
796149749086875649,11,Ruby,13325,30404,golden_retriever,True,88,2016-11-09,0
796080075804475393,12,Yogi,2158,8004,chow,True,49,2016-11-08,20
796031486298386433,13,Daisy,3492,10240,golden_retriever,True,82,2016-11-08,16
795400264262053889,12,Brody,2677,9466,golden_retriever,True,71,2016-11-06,22
794332329137291264,12,Nimbus,2529,9102,Samoyed,True,126,2016-11-04,0
793962221541933056,12,Maximus,4557,15861,Labrador_retriever,True,101,2016-11-02,23
793845145112371200,13,Clark,1739,8747,Old_English_sheepdog,True,71,2016-11-02,16
793601777308463104,12,Dobby,1511,7547,miniature_pinscher,True,76,2016-11-01,23
793500921481273345,12,Fiona,2225,10084,golden_retriever,True,115,2016-11-01,17
793286476301799424,13,Moreton,8573,23280,Afghan_hound,True,67,2016-11-01,3
793271401113350145,12,Dave,2239,8228,Siberian_husky,True,118,2016-11-01,2
793241302385262592,13,Tucker,3065,9950,golden_retriever,True,70,2016-11-01,0
793226087023144960,11,Juno,2706,9259,wire-haired_fox_terrier,True,123,2016-10-31,23
793195938047070209,12,Lily,5257,14398,Labrador_retriever,True,99,2016-10-31,21
793180763617361921,11,Newt,1858,6533,Lakeland_terrier,True,38,2016-10-31,20
793165685325201412,12,Benji,2620,8869,golden_retriever,True,128,2016-10-31,19
793150605191548928,11,Nida,1592,5831,Italian_greyhound,True,66,2016-10-31,18
793120401413079041,11,Robin,3671,11988,Labrador_retriever,True,139,2016-10-31,16
792773781206999040,12,Monster,1568,6979,Yorkshire_terrier,True,114,2016-10-30,17
792394556390137856,12,BeBe,4005,12674,cocker_spaniel,True,98,2016-10-29,15
792050063153438720,11,Remus,1666,6761,komondor,True,124,2016-10-28,17
791406955684368384,12,Levi,3845,12458,Pembroke,True,122,2016-10-26,22
791312159183634433,12,Mabel,2358,8298,miniature_pinscher,True,106,2016-10-26,16
790987426131050500,12,Misty,1981,9283,cocker_spaniel,True,54,2016-10-25,18
790698755171364864,12,Mosby,1798,7788,Bernese_mountain_dog,True,82,2016-10-24,23
790337589677002753,12,Maggie,1763,7403,Pembroke,True,72,2016-10-23,23
790277117346975746,11,Bruce,2946,11863,Labrador_retriever,True,77,2016-10-23,19
789628658055020548,13,Eli,1638,7064,chow,True,41,2016-10-22,0
789599242079838210,12,Brownie,1786,6354,Chesapeake_Bay_retriever,True,74,2016-10-21,22
789530877013393408,12,Rizzy,3148,11058,schipperke,True,52,2016-10-21,18
789268448748703744,10,Stella,2435,8621,malamute,True,79,2016-10-21,0
789137962068021249,12,Bo,2600,9205,Chihuahua,True,114,2016-10-20,16
788765914992902144,12,Butter,9632,25818,cocker_spaniel,True,79,2016-10-19,15
788412144018661376,11,Dexter,4908,14674,golden_retriever,True,71,2016-10-18,16
788150585577050112,13,Leo,1196,5768,chow,True,80,2016-10-17,22
787810552592695296,11,Frank,2832,8130,pug,True,98,2016-10-17,0
787717603741622272,13,Tonks,2578,9680,German_shepherd,True,115,2016-10-16,18
787397959788929025,11,Moose,2657,10305,Chihuahua,True,107,2016-10-15,21
786963064373534720,12,Rory,7405,25200,golden_retriever,True,110,2016-10-14,16
786595970293370880,11,Dale,2904,8944,Pembroke,True,95,2016-10-13,15
786363235746385920,13,Rizzo,3206,10248,golden_retriever,True,83,2016-10-13,0
786233965241827333,11,Mattie,4358,14352,Labrador_retriever,True,117,2016-10-12,15
785872687017132033,12,Rusty,1667,6320,Great_Pyrenees,True,114,2016-10-11,16
785533386513321988,11,Dallas,1832,8552,miniature_pinscher,True,63,2016-10-10,17
784826020293709826,13,Rusty,3000,9551,chow,True,73,2016-10-08,18
784517518371221505,11,Frankie,2357,8459,malamute,True,83,2016-10-07,22
